Designator,Footprint,Quantity,Value,LCSC Part #
A1,Module_TFT_1.8_160x128,1,TFT 1.8 inch,
BT1,JST_XH_S2B-XH-A-1_1x02_P2.50mm_Horizontal,1,Battery,
LS1,JST_XH_S2B-XH-A-1_1x02_P2.50mm_Horizontal,1,Speaker_R,
LS2,JST_XH_S2B-XH-A-1_1x02_P2.50mm_Horizontal,1,Speaker_L,
"R1, R2, R3, R4, R5, R6, R7",R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal,7,10Kohm,
RV1,PS45M0MC2BR10KN,1,Pot_Dual,
SW1,SW_PUSH-12mm,1,X,
SW2,SW_PUSH-12mm,1,A,
SW3,SW_PUSH-12mm,1,Y,
SW4,SW_PUSH-12mm,1,B,
SW5,SW_PUSH_6mm,1,Start,
SW6,SW_PUSH_6mm,1,Select,
SW7,SW_Slide_SPDT_Angled_CK_OS102011MA1Q,1,Power_SW,
U1,ESP32-S3-DEVKITC-1-N8R8,1,ESP32-S3-DEVKITC-1-N16R8,
U2,XDCR_COM-09032,1,Joystick,
U3,PAM8403,1,PAM8304 Module,
U4,TP4056-18650,1,TP4056 Module,
