Designator,Mid X,Mid Y,Rotation,Layer
A1,150.24,-98.3,180.0,top
BT1,132.81,-138.98,90.0,bottom
LS1,187.57,-85.55,90.0,top
LS2,112.42,-85.3,270.0,top
R1,204.52,-105.31,270.0,top
R2,219.86,-121.16,270.0,top
R3,189.38,-121.16,270.0,top
R4,204.52,-136.13,270.0,top
R5,130.96,-119.89,0.0,top
R6,166.52,-119.89,180.0,top
R7,95.22,-122.22,270.0,top
RV1,188.11,-114.81,90.0,bottom
SW1,214.78,-105.92,0.0,top
SW2,199.54,-121.16,0.0,top
SW3,230.02,-121.16,0.0,top
SW4,214.78,-136.4,0.0,top
SW5,165.25,-128.78,0.0,top
SW6,132.23,-128.78,0.0,top
SW7,163.69,-144.5,0.0,top
U1,146.2,-98.535,270.0,bottom
U2,77.77,-119.857,270.0,top
U3,104.29,-102.11,0.0,bottom
U4,148.55,-133.55,90.0,top
